﻿Krystal,Reiss,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Richard,Spillane,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Ofelia,Meyer,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.5
Christopher,Fay,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",2.5
Rena,Southwood,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.5
Helen,Washington,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.5
Harold,Borg,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Patricia,Hall,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.5
Brandi,Turnage,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
John,George,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Jacqueline,Leblanc,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Cory,Simpson,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Anne,Mutch,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Maurice,Haberman,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Neil,Cotter,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Walter,Fouts,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Sally,Burns,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Kristin,Rivera,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Glenda,Kautz,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Peggy,Oquendo,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Claudia,Evans,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Shannon,Brown,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Frances,Butler,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
David,Jewell,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",2.5
Corey,Hill,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Jerry,Webb,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.5
Eleanor,Okelley,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",0.5
Christopher,McKnight,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Jimmy,Brown,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",2.5
Corrin,Atkinson,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Alice,Carrol,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Patrick,Brown,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Debra,Moore,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Allan,Nealy,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Stephen,Reynolds,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Joe,Phillips,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.5
Charlie,Dotson,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Blake,Hall,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Daniel,Meisel,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Randy,Thompson,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.5
Andrew,Brenner,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Jane,Peters,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Pablo,Lytle,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Star,Preston,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",2.0
Barry,Watson,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
John,Silvia,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Kristie,Harris,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Virginia,Billups,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Celeste,Jones,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Melissa,Hunt,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.5
Dale,Washington,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Jan,Benson,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Pamela,Snyder,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",2.0
Robert,Hall,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Barry,Williams,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Dorothy,Bonnell,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.5
Clyde,Long,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Amy,Burk,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Louise,Howell,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Fred,Tignor,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.5
Diana,Clark,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.5
Elena,Richardson,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Jeffrey,Mendoza,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Yvette,Riddick,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Stephanie,Hankins,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Bryan,Treece,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Nicole,Newby,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Douglas,Teske,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Daniel,Hammer,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Douglas,Alber,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",2.0
Michelle,Young,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.5
Thelma,Ewing,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Betty,Kemper,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Sharon,Carlson,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Barbara,Thompson,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.5
Jesus,Ketner,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Ian,Frazier,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Steven,Corbin,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Georgette,Nakano,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.5
Sarah,Johnson,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Joanne,Smith,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.5
Amber,Hall,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.5
Carrie,Ankney,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Charles,Starke,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.5
James,Tanner,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.0
Larry,Cowan,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Kathy,Cheng,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Joseph,Anthony,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Florence,Pittman,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Gary,French,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Daniel,King,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.5
Eric,Rich,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.5
Marie,Alba,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Tisha,Burleson,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
Tina,Smith,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",2.0
Ryan,Crosby,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Emily,Anderson,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Ruby,Washington,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Gary,Bradfield,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
James,Cuevas,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",5.0
Kirby,Suda,Toy Story ,1995 ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",4.0
